order_id,customer_id,product_category,quantity,price_inr,transaction_date,customer_email,customer_phone
ORD0000022,CUST00492,Electronics,4,2252.67,2024-01-02 20:00:00,alkadewan@example.org,+91-9458162968
ORD0000023,CUST00414,Electronics,1,2487.23,2024-01-02 22:00:00,priya96@example.com,+91-9869384268
ORD0000024,CUST00386,Electronics,1,495.61,2024-01-03 00:00:00,lakshitupadhyay@example.com,+91-9283020285
ORD0000025,CUST00192,Books,3,484.86,2024-01-03 02:00:00,battaimaran@example.org,+91-9996191422
ORD0000026,CUST00277,Electronics,2,317.29,2024-01-03 04:00:00,pahalbhatt@example.com,+91-9410669210
ORD0000027,CUST00161,Electronics,2,1805.9,2024-01-03 06:00:00,hsidhu@example.com,+91-9179779771
ORD0000028,CUST00460,Electronics,1,3823.11,2024-01-03 08:00:00,contractoramara@example.net,+91-9907444178
ORD0000029,CUST00314,Home,1,655.19,2024-01-03 10:00:00,isaac46@example.org,+91-9493668400
ORD0000030,CUST00022,Electronics,1,705.26,2024-01-03 12:00:00,uaggarwal@example.net,+91-9346798144
ORD0000031,CUST00253,Electronics,1,3892.41,2024-01-03 14:00:00,xiti28@example.org,+91-9359857317
ORD0000032,CUST00748,Books,1,1488.55,2024-01-03 16:00:00,yashica93@example.org,+91-9375100928
ORD0000033,CUST00561,Books,1,1388.86,2024-01-03 18:00:00,neel88@example.org,+91-9264529319
ORD0000034,CUST00475,Electronics,5,,2024-01-03 20:00:00,vrinda01@example.com,+91-9807186512
ORD0000035,CUST00059,Grocery,1,1769.99,2024-01-03 22:00:00,wriddhish03@example.net,+91-9796955412
ORD0000036,CUST00511,Electronics,two,,2024-01-04 00:00:00,chadavedika@example.org,+91-9124026709
ORD0000037,CUST00682,Electronics,3,288.87,2024-01-04 02:00:00,kabirsoman@example.net,+91-9712214798
ORD0000038,CUST00476,Electronics,two,634.75,2024-01-04 04:00:00,alkawable@example.net,+91-9283752753
ORD0000039,CUST00700,Electronics,1,499.8,2024-01-04 06:00:00,ikakar@example.net,+91-9360115430
ORD0000040,CUST00783,Grocery,2,719.39,2024-01-04 08:00:00,devikarastogi@example.net,+91-9687640294
ORD0000041,CUST00190,Electronics,2,212.52,2024-01-04 10:00:00,raksha87@example.org,+91-9590877343
ORD0000042,CUST00687,Electronics,2,2342.13,2024-01-04 12:00:00,umangbhatt@example.com,+91-9243186115
ORD0000043,CUST00563,Grocery,3,2773.0,2024-01-04 14:00:00,karpethomas@example.org,+91-9257556587
ORD0000044,CUST00567,Grocery,four,128.08,2024-01-04 16:00:00,bhargavaveer@example.org,+91-9563835948
ORD0000045,CUST00244,Electronics,2,2388.59,2024-01-04 18:00:00,narayananekavir@example.net,+91-9870173727
ORD0000046,CUST00505,Apparel,1,399.2,2024-01-04 20:00:00,aryasunder@example.org,+91-9119204852
ORD0000047,CUST00131,Electronics,2,,2024-01-04 22:00:00,urvashikibe@example.com,+91-9456912992
ORD0000048,CUST00485,Grocery,1,,2024-01-05 00:00:00,ggupta@example.org,+91-9741235398
ORD0000049,CUST00647,Apparel,3,924.06,2024-01-05 02:00:00,bpandya@example.com,+91-9898311112
ORD0000050,CUST00021,Home,1,746.13,2024-01-05 04:00:00,rbhagat@example.net,+91-9133905344
ORD0000051,CUST00167,Electronics,1,3017.33,2024-01-05 06:00:00,bhatneha@example.net,+91-9605277263
ORD0000052,CUST00274,Electronics,3,259.93,2024-01-05 08:00:00,ikbal33@example.org,+91-9358582161
ORD0000053,CUST00388,Electronics,2,1648.86,2024-01-05 10:00:00,bdey@example.org,+91-9454968885
ORD0000054,CUST00601,Electronics,1,2700.87,2024-01-05 12:00:00,turvi31@example.com,+91-9482774398
ORD0000055,CUST00316,Electronics,1,1837.83,2024-01-05 14:00:00,bedialexander@example.org,+91-9463471022
ORD0000056,CUST00014,Home,3,9179.23,2024-01-05 16:00:00,ojasray@example.com,+91-9785984901
ORD0000057,CUST00242,Electronics,1,529.03,2024-01-05 18:00:00,zkala@example.org,+91-9934327617
ORD0000058,CUST00777,Electronics,3,2338.59,2024-01-05 20:00:00,ladliagate@example.com,+91-9139708040
ORD0000059,CUST00346,Grocery,1,807.47,2024-01-05 22:00:00,suhani46@example.net,+91-9174246083
ORD0000060,CUST00565,Electronics,3,3082.22,2024-01-06 00:00:00,mdubey@example.com,+91-9934403692
ORD0000061,CUST00340,Grocery,3,890.97,2024-01-06 02:00:00,dalbirbhat@example.net,+91-9419535382
ORD0000062,CUST00092,Electronics,1,609.19,2024-01-06 04:00:00,dakshesh09@example.com,+91-9580178933
ORD0000063,CUST00367,Electronics,1,,2024-01-06 06:00:00,daksheshtrivedi@example.org,+91-9385940074
ORD0000064,CUST00455,Electronics,1,,2024-01-06 08:00:00,ekapadbir@example.net,+91-9380413932
ORD0000065,CUST00428,Electronics,2,218.61,2024-01-06 10:00:00,netradar@example.net,+91-9608981418
ORD0000066,CUST00509,Home,2,535.47,2024-01-06 12:00:00,balveerbumb@example.com,+91-9698824263
ORD0000067,CUST00776,Electronics,2,1667.42,2024-01-06 14:00:00,advika35@example.org,+91-9880468070
ORD0000068,CUST00035,Electronics,1,3612.08,2024-01-06 16:00:00,meghana24@example.com,+91-9948294552
ORD0000069,CUST00206,Electronics,1,1003.38,2024-01-06 18:00:00,elijah07@example.net,+91-9675742543
ORD0000070,CUST00081,Electronics,1,3354.97,2024-01-06 20:00:00,borahtanay@example.net,+91-9796527778
ORD0000071,CUST00562,Books,1,230.86,2024-01-06 22:00:00,kevin51@example.org,+91-9130004368
ORD0000072,CUST00388,Electronics,2,576.36,2024-01-07 00:00:00,bhavani27@example.net,+91-9987699729
ORD0000073,CUST00002,Apparel,3,672.78,2024-01-07 02:00:00,abhiram84@example.net,+91-9324133115
ORD0000074,CUST00390,Beauty,2,800.66,2024-01-07 04:00:00,desaiaishani@example.org,+91-9714309018
ORD0000075,CUST00566,Apparel,1,,2024-01-07 06:00:00,dugalanita@example.com,+91-9143954062
ORD0000076,CUST00106,Home,4,1791.68,2024-01-07 08:00:00,hemaljani@example.net,+91-9984169211
ORD0000077,CUST00772,Electronics,2,575.47,2024-01-07 10:00:00,yashasvi74@example.org,+91-9195174480
ORD0000078,CUST00477,Electronics,4,1031.77,2024-01-07 12:00:00,sampatharadhana@example.org,+91-9161507946
ORD0000079,CUST00703,Electronics,2,858.23,2024-01-07 14:00:00,nathkalpit@example.net,+91-9135861828
ORD0000080,CUST00402,Grocery,1,355.71,2024-01-07 16:00:00,neel78@example.net,+91-9308282447
ORD0000081,CUST00730,Beauty,1,801.38,2024-01-07 18:00:00,handra@example.org,+91-9573971342
ORD0000082,CUST00556,Electronics,2,777.7,2024-01-07 20:00:00,balendrapingle@example.net,+91-9749585185
ORD0000083,CUST00162,Apparel,1,761.22,2024-01-07 22:00:00,qushidatta@example.org,+91-9178460370
ORD0000084,CUST00202,Electronics,1,926.82,2024-01-08 00:00:00,janya05@example.org,+91-9610945518
ORD0000085,CUST00270,Apparel,2,,2024-01-08 02:00:00,harshilpandya@example.net,+91-9340544393
ORD0000086,CUST00271,Electronics,2,582.72,2024-01-08 04:00:00,pdubey@example.org,+91-9938692605
ORD0000087,CUST00456,Beauty,2,3205.79,2024-01-08 06:00:00,nitarabakshi@example.org,+91-9647268100
ORD0000088,CUST00462,Apparel,1,278.81,2024-01-08 08:00:00,nisha34@example.org,+91-9282444915
ORD0000089,CUST00727,Electronics,three,436.61,2024-01-08 10:00:00,rajabalvan@example.com,+91-9295689647
ORD0000090,CUST00252,Electronics,2,14471.89,2024-01-08 12:00:00,ryansharma@example.com,+91-9787607668
ORD0000091,CUST00702,Electronics,five,317.99,2024-01-08 14:00:00,vedant30@example.net,+91-9563673753
ORD0000092,CUST00296,Electronics,2,231.89,2024-01-08 16:00:00,mohininarasimhan@example.com,+91-9676019157
ORD0000093,CUST00725,Electronics,4,1871.46,2024-01-08 18:00:00,mallickindali@example.net,+91-9864763499
ORD0000094,CUST00720,Books,3,112.49,2024-01-08 20:00:00,vyadav@example.org,+91-9297921085
ORD0000095,CUST00749,Apparel,2,709.62,2024-01-08 22:00:00,lalpranav@example.net,+91-9337312524
ORD0000096,CUST00338,Electronics,1,7675.78,2024-01-09 00:00:00,balvan19@example.com,+91-9364639368
ORD0000097,CUST00053,Electronics,2,191.53,2024-01-09 02:00:00,dipta69@example.net,+91-9977915135
ORD0000098,CUST00792,Books,2,123.72,2024-01-09 04:00:00,rajanranveer@example.com,+91-9815277240
ORD0000099,CUST00217,Grocery,one,200.5,2024-01-09 06:00:00,sarinaarav@example.net,+91-9506670564
ORD0000100,CUST00764,Electronics,two,2204.73,2024-01-09 08:00:00,janujasankar@example.org,+91-9618876823
ORD0000101,CUST00188,Grocery,2,2764.95,2024-01-09 10:00:00,dipta14@example.net,+91-9615848992
ORD0000102,CUST00380,Electronics,1,537.76,2024-01-09 12:00:00,nilima56@example.net,+91-9439029947
ORD0000103,CUST00493,Electronics,2,1777.94,2024-01-09 14:00:00,joshua36@example.net,+91-9786099631
ORD0000104,CUST00041,Electronics,five,,2024-01-09 16:00:00,nghosh@example.net,+91-9872477247
ORD0000105,CUST00157,Electronics,3,5363.36,2024-01-09 18:00:00,nidra80@example.com,+91-9708039787
ORD0000106,CUST00015,Electronics,1,701.81,2024-01-09 20:00:00,shivansh69@example.net,+91-9843184712
ORD0000107,CUST00065,Home,1,89.88,2024-01-09 22:00:00,udyati77@example.net,+91-9392968300
ORD0000108,CUST00521,Books,1,395.09,2024-01-10 00:00:00,yastisolanki@example.net,+91-9513504240
ORD0000109,CUST00344,Apparel,2,585.93,2024-01-10 02:00:00,fradomander@example.net,+91-9124275600
ORD0000110,CUST00129,Electronics,1,693.02,2024-01-10 04:00:00,girik34@example.org,+91-9831010403
ORD0000111,CUST00648,Electronics,1,744.07,2024-01-10 06:00:00,mananbakshi@example.org,+91-9885522758
ORD0000112,CUST00472,Apparel,2,2748.73,2024-01-10 08:00:00,vaishnavibora@example.com,+91-9475270202
ORD0000113,CUST00063,Electronics,1,3211.29,2024-01-10 10:00:00,thayer@example.net,+91-9957217888
ORD0000114,CUST00139,Electronics,4,756.22,2024-01-10 12:00:00,ztalwar@example.org,+91-9624113707
ORD0000115,CUST00499,Electronics,4,2693.2,2024-01-10 14:00:00,abdulchhabra@example.com,+91-9138878111
ORD0000116,CUST00593,Grocery,2,1283.9,2024-01-10 16:00:00,patrickvasa@example.com,+91-9391739146
ORD0000117,CUST00392,Electronics,1,957.67,2024-01-10 18:00:00,krishjairaj@example.com,+91-9843719681
ORD0000118,CUST00675,Electronics,2,2222.85,2024-01-10 20:00:00,ucchalwali@example.net,+91-9669436121
ORD0000119,CUST00419,Grocery,1,965.12,2024-01-10 22:00:00,saanvi98@example.com,+91-9723098051
ORD0000120,CUST00289,Electronics,1,,2024-01-11 00:00:00,vdutt@example.com,+91-9229673360
ORD0000121,CUST00379,Electronics,1,213.06,2024-01-11 02:00:00,wlad@example.org,+91-9860790992
ORD0000122,CUST00773,Electronics,4,536.37,2024-01-11 04:00:00,vedhika34@example.com,+91-9274218971
ORD0000123,CUST00490,Electronics,1,791.14,2024-01-11 06:00:00,mangalwahab@example.com,+91-9588027485
ORD0000124,CUST00231,Grocery,2,1393.33,2024-01-11 08:00:00,ekaja81@example.org,+91-9219483815
ORD0000125,CUST00041,Electronics,2,3190.59,2024-01-11 10:00:00,vihaanrajagopal@example.net,+91-9630274774
ORD0000126,CUST00028,Electronics,1,876.21,2024-01-11 12:00:00,tanishbhatt@example.com,+91-9818198445
ORD0000127,CUST00135,Books,1,216.54,2024-01-11 14:00:00,inarayanan@example.com,+91-9726439260
ORD0000128,CUST00201,Books,three,2084.98,2024-01-11 16:00:00,nbhatia@example.com,+91-9434791589
ORD0000129,CUST00780,Books,one,1910.19,2024-01-11 18:00:00,wbahri@example.net,+91-9593003326
ORD0000130,CUST00033,Electronics,2,128.78,2024-01-11 20:00:00,asood@example.com,+91-9217691932
ORD0000131,CUST00048,Electronics,1,894.44,2024-01-11 22:00:00,madhavi68@example.net,+91-9788844634
ORD0000132,CUST00503,Beauty,1,183.07,2024-01-12 00:00:00,vinayakanda@example.com,+91-9322245148
ORD0000133,CUST00407,Grocery,1,461.9,2024-01-12 02:00:00,bsunder@example.com,+91-9229673699
ORD0000134,CUST00574,Electronics,1,364.01,2024-01-12 04:00:00,nidhi27@example.org,+91-9968865954
ORD0000135,CUST00728,Electronics,1,2016.79,2024-01-12 06:00:00,rameshavi@example.org,+91-9552405619
ORD0000136,CUST00099,Electronics,3,1009.12,2024-01-12 08:00:00,ddeshmukh@example.org,+91-9315573782
ORD0000137,CUST00684,Home,1,248.24,2024-01-12 10:00:00,ladladli@example.com,+91-9919752678
ORD0000138,CUST00726,Electronics,1,,2024-01-12 12:00:00,suhaninarain@example.com,+91-9127683117
ORD0000139,CUST00547,Electronics,2,214.05,2024-01-12 14:00:00,wmall@example.com,+91-9932913662
ORD0000140,CUST00739,Electronics,3,1249.02,2024-01-12 16:00:00,finn70@example.net,+91-9890554283
ORD0000141,CUST00613,Apparel,1,,2024-01-12 18:00:00,pallaudarsh@example.net,+91-9794377391
ORD0000142,CUST00462,Books,2,622.86,2024-01-12 20:00:00,bariaazaan@example.org,+91-9351138739
ORD0000143,CUST00643,Electronics,1,1486.64,2024-01-12 22:00:00,anmoldua@example.org,+91-9385417142
ORD0000144,CUST00769,Grocery,1,,2024-01-13 00:00:00,urvashicontractor@example.net,+91-9166773825
ORD0000145,CUST00005,Beauty,1,3418.54,2024-01-13 02:00:00,udyatikunda@example.com,+91-9399379111
ORD0000146,CUST00218,Electronics,3,826.95,2024-01-13 04:00:00,ishwargade@example.com,+91-9498868216
ORD0000147,CUST00503,Electronics,two,1219.81,2024-01-13 06:00:00,baldevika@example.net,+91-9200109982
ORD0000148,CUST00767,Electronics,1,579.56,2024-01-13 08:00:00,tranganathan@example.org,+91-9128444659
ORD0000149,CUST00398,Grocery,1,1077.06,2024-01-13 10:00:00,kibeharsh@example.net,+91-9402614447
ORD0000150,CUST00795,Apparel,3,1393.38,2024-01-13 12:00:00,jai90@example.com,+91-9355778915
ORD0000151,CUST00393,Apparel,1,813.78,2024-01-13 14:00:00,eprabhakar@example.net,+91-9496953404
ORD0000152,CUST00207,Grocery,1,147.86,2024-01-13 16:00:00,advik67@example.org,+91-9839298415
ORD0000153,CUST00015,Electronics,one,1250.72,2024-01-13 18:00:00,opathak@example.com,+91-9873892403
ORD0000154,CUST00554,Home,1,1292.79,2024-01-13 20:00:00,radhikagoda@example.net,+91-9773118885
ORD0000155,CUST00461,Electronics,2,454.79,2024-01-13 22:00:00,veda76@example.net,+91-9472087258
ORD0000156,CUST00691,Electronics,2,248.54,2024-01-14 00:00:00,ekantika31@example.com,+91-9900372259
ORD0000157,CUST00575,Apparel,1,3927.97,2024-01-14 02:00:00,wkohli@example.com,+91-9785121647
ORD0000158,CUST00743,Grocery,four,1467.69,2024-01-14 04:00:00,bnayar@example.com,+91-9271420758
ORD0000159,CUST00241,Electronics,1,714.03,2024-01-14 06:00:00,qabil73@example.com,+91-9909550006
ORD0000160,CUST00564,Books,1,288.0,2024-01-14 08:00:00,harini49@example.net,+91-9391691092
ORD0000161,CUST00096,Home,1,394.72,2024-01-14 10:00:00,advaith83@example.org,+91-9340316172
ORD0000162,CUST00734,Electronics,3,3303.01,2024-01-14 12:00:00,niharikasuresh@example.net,+91-9273867172
ORD0000163,CUST00485,Beauty,4,1030.36,2024-01-14 14:00:00,vamakshiswaminathan@example.com,+91-9661027886
ORD0000164,CUST00407,Electronics,5,517.71,2024-01-14 16:00:00,chanderchaitaly@example.org,+91-9485321049
ORD0000165,CUST00231,Electronics,3,1494.71,2024-01-14 18:00:00,tkohli@example.net,+91-9898671302
ORD0000166,CUST00749,Electronics,2,397.66,2024-01-14 20:00:00,urvashi88@example.com,+91-9807557350
ORD0000167,CUST00655,Books,2,4027.27,2024-01-14 22:00:00,wnarayanan@example.net,+91-9647518997
ORD0000168,CUST00171,Apparel,1,3473.09,2024-01-15 00:00:00,tmadan@example.com,+91-9281034662
ORD0000169,CUST00541,Electronics,2,563.08,2024-01-15 02:00:00,jaihans@example.com,+91-9954774486
ORD0000170,CUST00036,Electronics,two,478.82,2024-01-15 04:00:00,wasonqasim@example.org,+91-9976410937
ORD0000171,CUST00525,Apparel,three,65.49,2024-01-15 06:00:00,vedamalhotra@example.net,+91-9258745117
ORD0000172,CUST00160,Electronics,3,204.06,2024-01-15 08:00:00,harish34@example.org,+91-9319944849
ORD0000173,CUST00699,Books,1,,2024-01-15 10:00:00,praneel40@example.net,+91-9193063785
ORD0000174,CUST00243,Grocery,1,1027.81,2024-01-15 12:00:00,anushabath@example.org,+91-9828128493
ORD0000175,CUST00086,Electronics,4,647.92,2024-01-15 14:00:00,jonathan71@example.org,+91-9482645065
ORD0000176,CUST00796,Beauty,1,233.85,2024-01-15 16:00:00,upasna77@example.com,+91-9242595750
ORD0000177,CUST00578,Electronics,1,677.79,2024-01-15 18:00:00,charankrishnan@example.com,+91-9529774489
ORD0000178,CUST00682,Beauty,4,1488.22,2024-01-15 20:00:00,bhattacharyyanandini@example.com,+91-9618515526
ORD0000179,CUST00557,Apparel,2,1522.09,2024-01-15 22:00:00,beramax@example.org,+91-9480916230
ORD0000180,CUST00574,Apparel,2,134.33,2024-01-16 00:00:00,frederick31@example.net,+91-9675656132
ORD0000181,CUST00646,Electronics,1,789.77,2024-01-16 02:00:00,xkara@example.net,+91-9221958208
ORD0000182,CUST00796,Books,1,225.13,2024-01-16 04:00:00,cseshadri@example.com,+91-9502233389
ORD0000183,CUST00028,Electronics,3,,2024-01-16 06:00:00,kmody@example.net,+91-9500841233
ORD0000184,CUST00620,Electronics,2,1966.77,2024-01-16 08:00:00,chaudharysarthak@example.net,+91-9147789452
ORD0000185,CUST00556,Electronics,2,365.76,2024-01-16 10:00:00,aishanibumb@example.org,+91-9841557912
ORD0000186,CUST00340,Apparel,1,,2024-01-16 12:00:00,oscarborde@example.org,+91-9519632103
ORD0000187,CUST00798,Electronics,1,566.08,2024-01-16 14:00:00,regeshravya@example.net,+91-9152787975
ORD0000188,CUST00331,Grocery,4,94.37,2024-01-16 16:00:00,cmanne@example.org,+91-9597924169
ORD0000189,CUST00640,Books,1,1256.35,2024-01-16 18:00:00,barkha71@example.net,+91-9502234783
ORD0000190,CUST00506,Electronics,2,683.45,2024-01-16 20:00:00,aishanihora@example.com,+91-9893239184
ORD0000191,CUST00348,Grocery,1,2368.89,2024-01-16 22:00:00,karmanthan@example.com,+91-9687269733
ORD0000192,CUST00473,Electronics,2,299.34,2024-01-17 00:00:00,ekbalbhasin@example.org,+91-9857807438
ORD0000193,CUST00231,Books,4,483.42,2024-01-17 02:00:00,bhavya71@example.com,+91-9832993358
ORD0000194,CUST00190,Grocery,2,199.03,2024-01-17 04:00:00,neha48@example.net,+91-9214881144
ORD0000195,CUST00225,Electronics,1,328.89,2024-01-17 06:00:00,fsarma@example.net,+91-9578384702
ORD0000196,CUST00385,Grocery,2,,2024-01-17 08:00:00,sankaranekantika@example.net,+91-9370727463
ORD0000197,CUST00377,Electronics,3,2430.8,2024-01-17 10:00:00,atharv13@example.net,+91-9641421554
ORD0000198,CUST00283,Electronics,1,446.63,2024-01-17 12:00:00,luthrabanjeet@example.org,+91-9757134675
ORD0000199,CUST00633,Books,3,1016.56,2024-01-17 14:00:00,pvenkataraman@example.com,+91-9231290126
ORD0000200,CUST00628,Electronics,2,613.53,2024-01-17 16:00:00,pratyush96@example.net,+91-9375171170
ORD0000201,CUST00745,Electronics,3,252.28,2024-01-17 18:00:00,echand@example.com,+91-9375915229
ORD0000202,CUST00259,Electronics,2,758.77,2024-01-17 20:00:00,unath@example.net,+91-9850369400
ORD0000203,CUST00359,Books,1,1634.52,2024-01-17 22:00:00,dyalforum@example.com,+91-9895729287
ORD0000204,CUST00710,Electronics,1,268.34,2024-01-18 00:00:00,qmani@example.com,+91-9262941406
ORD0000205,CUST00456,Electronics,five,2016.49,2024-01-18 02:00:00,shagaurang@example.com,+91-9593936255
ORD0000206,CUST00411,Grocery,4,383.86,2024-01-18 04:00:00,ekiya16@example.net,+91-9698309231
ORD0000207,CUST00649,Books,3,553.92,2024-01-18 06:00:00,shereodika@example.org,+91-9236970606
ORD0000208,CUST00318,Electronics,2,1526.42,2024-01-18 08:00:00,zarnapathak@example.net,+91-9661560863
ORD0000209,CUST00677,Electronics,1,462.46,2024-01-18 10:00:00,wsathe@example.org,+91-9976734252
ORD0000210,CUST00225,Electronics,1,932.23,2024-01-18 12:00:00,amaradeep@example.com,+91-9132889209
ORD0000211,CUST00234,Electronics,3,655.44,2024-01-18 14:00:00,hsundaram@example.org,+91-9754321331
ORD0000212,CUST00684,Electronics,1,1021.85,2024-01-18 16:00:00,nathanmukhopadhyay@example.net,+91-9372603598
ORD0000213,CUST00664,Grocery,1,83.03,2024-01-18 18:00:00,reddygirik@example.org,+91-9272848721
ORD0000214,CUST00374,Apparel,2,144.07,2024-01-18 20:00:00,shenoyjacob@example.net,+91-9615407884
ORD0000215,CUST00672,Apparel,1,1662.32,2024-01-18 22:00:00,wishimanne@example.net,+91-9775734039
ORD0000216,CUST00608,Electronics,1,2533.06,2024-01-19 00:00:00,ojasvi77@example.org,+91-9237317543
ORD0000217,CUST00472,Books,1,361.23,2024-01-19 02:00:00,ydhillon@example.org,+91-9376334861
ORD0000218,CUST00233,Electronics,1,703.43,2024-01-19 04:00:00,ekarajmajumdar@example.com,+91-9558686427
ORD0000219,CUST00692,Beauty,5,1205.58,2024-01-19 06:00:00,yashica40@example.com,+91-9284307658
ORD0000220,CUST00113,Apparel,1,1795.82,2024-01-19 08:00:00,vrishti27@example.net,+91-9281320773
ORD0000221,CUST00497,Electronics,1,118.19,2024-01-19 10:00:00,vpai@example.net,+91-9198835773
ORD0000222,CUST00442,Apparel,1,370.17,2024-01-19 12:00:00,ushah@example.org,+91-9134914679
ORD0000223,CUST00564,Electronics,3,643.82,2024-01-19 14:00:00,leelakaur@example.com,+91-9643095896
ORD0000224,CUST00268,Apparel,1,1813.73,2024-01-19 16:00:00,nadkarniurvashi@example.net,+91-9789825468
ORD0000225,CUST00510,Electronics,2,10920.87,2024-01-19 18:00:00,qraju@example.net,+91-9434725376
ORD0000226,CUST00386,Electronics,1,714.79,2024-01-19 20:00:00,warhibansal@example.org,+91-9163695064
ORD0000227,CUST00387,Books,1,219.87,2024-01-19 22:00:00,harish71@example.net,+91-9991011521
ORD0001933,CUST00113,Electronics,1,1342.47,2024-01-20 00:00:00,uaurora@example.org,+91-9353846397
ORD0000229,CUST00613,Books,3,3364.37,2024-01-20 02:00:00,edubey@example.com,+91-9909438348
ORD0000230,CUST00625,Electronics,3,1000.26,2024-01-20 04:00:00,hamsini96@example.net,+91-9463390112
ORD0000231,CUST00081,Apparel,1,362.62,2024-01-20 06:00:00,narasimhanlajita@example.com,+91-9268794143
ORD0000232,CUST00699,Apparel,2,2200000.0,2024-01-20 08:00:00,nbanik@example.org,+91-9659180951
ORD0000233,CUST00113,Electronics,4,1743.32,2024-01-20 10:00:00,bhavnakaran@example.net,+91-9538034266
ORD0000234,CUST00002,Electronics,two,321.8,2024-01-20 12:00:00,sarafguneet@example.net,+91-9449091075
ORD0000235,CUST00642,Electronics,3,,2024-01-20 14:00:00,sawhneyojas@example.net,+91-9252977111
ORD0000236,CUST00220,Electronics,1,2433.94,2024-01-20 16:00:00,ayush05@example.org,+91-9189529622
ORD0000237,CUST00566,Electronics,4,2927.46,2024-01-20 18:00:00,jagrati56@example.org,+91-9652956513
ORD0000238,CUST00736,Apparel,3,840.13,2024-01-20 20:00:00,nishagole@example.org,+91-9965395604
ORD0000239,CUST00225,Home,4,627.61,2024-01-20 22:00:00,farhanraja@example.net,+91-9656939805
ORD0000240,CUST00385,Books,2,3063.38,2024-01-21 00:00:00,widishadhar@example.org,+91-9977933199
ORD0000241,CUST00403,Grocery,1,267.69,2024-01-21 02:00:00,dkumar@example.com,+91-9735840578
ORD0000242,CUST00638,Grocery,4,1392.11,2024-01-21 04:00:00,shroffbhavna@example.net,+91-9451784804
ORD0000243,CUST00130,Apparel,1,228.14,2024-01-21 06:00:00,ethansathe@example.com,+91-9634400999
ORD0000244,CUST00053,Electronics,1,2605.49,2024-01-21 08:00:00,panini47@example.com,+91-9242827435
ORD0000245,CUST00684,Home,2,693.64,2024-01-21 10:00:00,leenasubramanian@example.org,+91-9424736792
ORD0000246,CUST00730,Apparel,3,,2024-01-21 12:00:00,lakshmiparmer@example.net,+91-9902188011
ORD0000247,CUST00672,Apparel,4,1467.64,2024-01-21 14:00:00,chakrika06@example.com,+91-9763847354
ORD0000248,CUST00710,Electronics,1,264.22,2024-01-21 16:00:00,bawawatika@example.com,+91-9328166528
ORD0000249,CUST00416,Electronics,five,3731.73,2024-01-21 18:00:00,indirakanda@example.net,+91-9686026848
ORD0000250,CUST00247,Electronics,2,,2024-01-21 20:00:00,zashildevan@example.net,+91-9858808974
ORD0000251,CUST00439,Books,1,2169.57,2024-01-21 22:00:00,baraldayamai@example.com,+91-9207242623
ORD0000252,CUST00203,Electronics,1,419.23,2024-01-22 00:00:00,patlakaran@example.org,+91-9679452240
